id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
lifting,1715719171.486424,0.0,0.0,0.0,0.0,0.0,0.0
lifting,1715719171.488132,-0.9206541,-1.0331726,-0.4655202,-0.9206541,-1.0331726,-0.4655202
lifting,1715719171.49044,0.7737809,-1.431448,0.07976162,0.7737809,-1.431448,0.07976162
lifting,1715719171.492337,-0.6479466,-1.8096166,1.3727254,-0.6479466,-1.8096166,1.3727254
lifting,1715719171.493929,-3.3168316,-1.7371787,0.3416833,-3.3168316,-1.7371787,0.3416833
lifting,1715719171.495475,-3.3168316,-1.7371787,0.3416833,-3.3168316,-1.7371787,0.3416833
lifting,1715719171.497062,-3.3168316,-1.7371787,0.3416833,-3.3168316,-1.7371787,0.3416833
lifting,1715719171.498626,-3.3168316,-1.7371787,0.3416833,-3.3168316,-1.7371787,0.3416833
lifting,1715719171.50014,-3.3168316,-1.7371787,0.3416833,-3.3168316,-1.7371787,0.3416833
lifting,1715719171.501746,-3.3168316,-1.7371787,0.3416833,-3.3168316,-1.7371787,0.3416833
lifting,1715719171.503366,-3.3168316,-1.7371787,0.3416833,-3.3168316,-1.7371787,0.3416833
lifting,1715719171.504941,-3.3168316,-1.7371787,0.3416833,-3.3168316,-1.7371787,0.3416833
lifting,1715719171.506502,-3.3168316,-1.7371787,0.3416833,-3.3168316,-1.7371787,0.3416833
lifting,1715719171.508116,-3.3168316,-1.7371787,0.3416833,-3.3168316,-1.7371787,0.3416833
lifting,1715719171.5097148,-3.3168316,-1.7371787,0.3416833,-3.3168316,-1.7371787,0.3416833
lifting,1715719171.511327,-3.3168316,-1.7371787,0.3416833,-3.3168316,-1.7371787,0.3416833
lifting,1715719171.512903,-3.3168316,-1.7371787,0.3416833,-3.3168316,-1.7371787,0.3416833
lifting,1715719171.514463,-3.3168316,-1.7371787,0.3416833,-3.3168316,-1.7371787,0.3416833
lifting,1715719171.516066,-3.3168316,-1.7371787,0.3416833,-3.3168316,-1.7371787,0.3416833
lifting,1715719171.517709,-3.3168316,-1.7371787,0.3416833,-3.3168316,-1.7371787,0.3416833
lifting,1715719171.519239,-3.7248275,-0.42930126,0.17137429,-3.7248275,-0.42930126,0.17137429
lifting,1715719171.520819,-3.7248275,-0.42930126,0.17137429,-3.7248275,-0.42930126,0.17137429
lifting,1715719171.5223958,-3.747198,-0.4719118,0.024367906,-3.747198,-0.4719118,0.024367906
lifting,1715719171.52401,-3.747198,-0.4719118,0.024367906,-3.747198,-0.4719118,0.024367906
lifting,1715719171.525594,-3.3967264,-0.85647196,-0.3888212,-3.3967264,-0.85647196,-0.3888212
lifting,1715719171.5271711,-3.3967264,-0.85647196,-0.3888212,-3.3967264,-0.85647196,-0.3888212
lifting,1715719171.528703,-3.3967264,-0.85647196,-0.3888212,-3.3967264,-0.85647196,-0.3888212
lifting,1715719171.530273,-3.3967264,-0.85647196,-0.3888212,-3.3967264,-0.85647196,-0.3888212
lifting,1715719171.531934,-3.3967264,-0.85647196,-0.3888212,-3.3967264,-0.85647196,-0.3888212
lifting,1715719171.533519,-3.3967264,-0.85647196,-0.3888212,-3.3967264,-0.85647196,-0.3888212
lifting,1715719171.535136,-3.3967264,-0.85647196,-0.3888212,-3.3967264,-0.85647196,-0.3888212
lifting,1715719171.53673,-2.537325,-0.8468846,-0.67857295,-2.537325,-0.8468846,-0.67857295
lifting,1715719171.538334,-2.537325,-0.8468846,-0.67857295,-2.537325,-0.8468846,-0.67857295
lifting,1715719171.5399308,-2.537325,-0.8468846,-0.67857295,-2.537325,-0.8468846,-0.67857295
lifting,1715719171.541534,-2.537325,-0.8468846,-0.67857295,-2.537325,-0.8468846,-0.67857295
lifting,1715719171.5431402,-2.537325,-0.8468846,-0.67857295,-2.537325,-0.8468846,-0.67857295
lifting,1715719171.5447412,-2.537325,-0.8468846,-0.67857295,-2.537325,-0.8468846,-0.67857295
lifting,1715719171.546332,-2.537325,-0.8468846,-0.67857295,-2.537325,-0.8468846,-0.67857295
lifting,1715719171.547937,-2.537325,-0.8468846,-0.67857295,-2.537325,-0.8468846,-0.67857295
lifting,1715719171.549532,-2.537325,-0.8468846,-0.67857295,-2.537325,-0.8468846,-0.67857295
lifting,1715719171.5511308,-2.537325,-0.8468846,-0.67857295,-2.537325,-0.8468846,-0.67857295
lifting,1715719171.552726,-2.537325,-0.8468846,-0.67857295,-2.537325,-0.8468846,-0.67857295
lifting,1715719171.554334,-2.537325,-0.8468846,-0.67857295,-2.537325,-0.8468846,-0.67857295
lifting,1715719171.555923,-1.4052159,-0.3366233,-0.89042723,-1.4052159,-0.3366233,-0.89042723
lifting,1715719171.5575302,-1.4052159,-0.3366233,-0.89042723,-1.4052159,-0.3366233,-0.89042723
lifting,1715719171.5590851,-0.3071954,0.37364122,-0.8861662,-0.3071954,0.37364122,-0.8861662
lifting,1715719171.5606458,-0.3071954,0.37364122,-0.8861662,-0.3071954,0.37364122,-0.8861662
lifting,1715719171.562269,-0.3071954,0.37364122,-0.8861662,-0.3071954,0.37364122,-0.8861662
lifting,1715719171.56388,-0.3071954,0.37364122,-0.8861662,-0.3071954,0.37364122,-0.8861662
lifting,1715719171.5654871,-0.3071954,0.37364122,-0.8861662,-0.3071954,0.37364122,-0.8861662
lifting,1715719171.567094,-0.3071954,0.37364122,-0.8861662,-0.3071954,0.37364122,-0.8861662
lifting,1715719171.568686,-0.3071954,0.37364122,-0.8861662,-0.3071954,0.37364122,-0.8861662
lifting,1715719171.5702322,0.16351797,0.6506098,-0.81159776,0.16351797,0.6506098,-0.81159776
lifting,1715719171.571813,0.16351797,0.6506098,-0.81159776,0.16351797,0.6506098,-0.81159776
lifting,1715719171.5734432,0.16351797,0.6506098,-0.81159776,0.16351797,0.6506098,-0.81159776
lifting,1715719171.575063,0.16351797,0.6506098,-0.81159776,0.16351797,0.6506098,-0.81159776
lifting,1715719171.576681,0.16351797,0.6506098,-0.81159776,0.16351797,0.6506098,-0.81159776
lifting,1715719171.578262,1.2359722,1.0574074,-0.4633897,1.2359722,1.0574074,-0.4633897
lifting,1715719171.579891,1.2359722,1.0574074,-0.4633897,1.2359722,1.0574074,-0.4633897
lifting,1715719171.581524,1.2359722,1.0574074,-0.4633897,1.2359722,1.0574074,-0.4633897
lifting,1715719171.583154,1.2359722,1.0574074,-0.4633897,1.2359722,1.0574074,-0.4633897
lifting,1715719171.584778,1.2359722,1.0574074,-0.4633897,1.2359722,1.0574074,-0.4633897
lifting,1715719171.586399,1.2359722,1.0574074,-0.4633897,1.2359722,1.0574074,-0.4633897
lifting,1715719171.588043,1.2359722,1.0574074,-0.4633897,1.2359722,1.0574074,-0.4633897
lifting,1715719171.589684,1.3755217,1.0819083,-0.40266967,1.3755217,1.0819083,-0.40266967
lifting,1715719171.591294,1.3755217,1.0819083,-0.40266967,1.3755217,1.0819083,-0.40266967
lifting,1715719171.592934,1.3755217,1.0819083,-0.40266967,1.3755217,1.0819083,-0.40266967
lifting,1715719171.594576,1.3755217,1.0819083,-0.40266967,1.3755217,1.0819083,-0.40266967
lifting,1715719171.596213,1.3755217,1.0819083,-0.40266967,1.3755217,1.0819083,-0.40266967
lifting,1715719171.5978901,1.3755217,1.0819083,-0.40266967,1.3755217,1.0819083,-0.40266967
lifting,1715719171.599537,1.3755217,1.0819083,-0.40266967,1.3755217,1.0819083,-0.40266967
lifting,1715719171.6011882,1.3755217,1.0819083,-0.40266967,1.3755217,1.0819083,-0.40266967
lifting,1715719171.602829,1.3755217,1.0819083,-0.40266967,1.3755217,1.0819083,-0.40266967
lifting,1715719171.604474,2.0571573,1.0680599,-0.19614168,2.0571573,1.0680599,-0.19614168
lifting,1715719171.606122,2.1923125,1.0542115,-0.26525065,2.1923125,1.0542115,-0.26525065
lifting,1715719171.607748,2.1923125,1.0542115,-0.26525065,2.1923125,1.0542115,-0.26525065
lifting,1715719171.609445,2.1923125,1.0542115,-0.26525065,2.1923125,1.0542115,-0.26525065
lifting,1715719171.6111581,2.1923125,1.0542115,-0.26525065,2.1923125,1.0542115,-0.26525065
lifting,1715719171.612853,2.1923125,1.0542115,-0.26525065,2.1923125,1.0542115,-0.26525065
lifting,1715719171.614537,2.1923125,1.0542115,-0.26525065,2.1923125,1.0542115,-0.26525065
lifting,1715719171.616222,2.1923125,1.0542115,-0.26525065,2.1923125,1.0542115,-0.26525065
lifting,1715719171.6178932,2.1923125,1.0542115,-0.26525065,2.1923125,1.0542115,-0.26525065
lifting,1715719171.619566,2.1923125,1.0542115,-0.26525065,2.1923125,1.0542115,-0.26525065
lifting,1715719171.621224,2.1923125,1.0542115,-0.26525065,2.1923125,1.0542115,-0.26525065
lifting,1715719171.6228611,2.1923125,1.0542115,-0.26525065,2.1923125,1.0542115,-0.26525065
lifting,1715719171.624502,2.2072263,1.1586074,-0.3696465,2.2072263,1.1586074,-0.3696465
lifting,1715719171.626185,2.2072263,1.1586074,-0.3696465,2.2072263,1.1586074,-0.3696465
lifting,1715719171.6278589,2.0901804,1.6250597,-0.49428234,2.0901804,1.6250597,-0.49428234
lifting,1715719171.6295419,2.0901804,1.6250597,-0.49428234,2.0901804,1.6250597,-0.49428234
lifting,1715719171.631253,2.0901804,1.6250597,-0.49428234,2.0901804,1.6250597,-0.49428234
lifting,1715719171.6329632,2.0901804,1.6250597,-0.49428234,2.0901804,1.6250597,-0.49428234
lifting,1715719171.6346638,2.0901804,1.6250597,-0.49428234,2.0901804,1.6250597,-0.49428234
lifting,1715719171.636369,2.0901804,1.6250597,-0.49428234,2.0901804,1.6250597,-0.49428234
lifting,1715719171.638072,1.9069551,2.1341226,-0.49854338,1.9069551,2.1341226,-0.49854338
lifting,1715719171.639744,1.9069551,2.1341226,-0.49854338,1.9069551,2.1341226,-0.49854338
lifting,1715719171.641453,1.9069551,2.1341226,-0.49854338,1.9069551,2.1341226,-0.49854338
lifting,1715719171.643162,1.9069551,2.1341226,-0.49854338,1.9069551,2.1341226,-0.49854338
lifting,1715719171.6448588,1.9069551,2.1341226,-0.49854338,1.9069551,2.1341226,-0.49854338
lifting,1715719171.6465669,1.9069551,2.1341226,-0.49854338,1.9069551,2.1341226,-0.49854338
lifting,1715719171.648273,1.9069551,2.1341226,-0.49854338,1.9069551,2.1341226,-0.49854338
lifting,1715719171.649976,1.9069551,2.1341226,-0.49854338,1.9069551,2.1341226,-0.49854338
lifting,1715719171.651684,1.9069551,2.1341226,-0.49854338,1.9069551,2.1341226,-0.49854338
lifting,1715719171.653404,1.9069551,2.1341226,-0.49854338,1.9069551,2.1341226,-0.49854338
lifting,1715719171.655134,1.761014,2.552638,-0.4868255,1.761014,2.552638,-0.4868255
lifting,1715719171.6568909,1.761014,2.552638,-0.4868255,1.761014,2.552638,-0.4868255
lifting,1715719171.658634,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.660396,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.662154,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.6639218,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.665699,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.667455,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.669214,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.670977,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.672749,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.6745,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.676262,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.678027,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.679782,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.681546,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.683305,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.6850739,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.686961,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.688821,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.690659,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.69251,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.694345,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.696183,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.698055,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.699913,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.701767,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.703616,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.70545,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.707283,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.709117,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.7109509,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.7127879,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.714623,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.716453,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.718406,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.7203588,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.7223098,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.7242591,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.726207,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.728152,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.7300868,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.7320168,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.733957,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.735907,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.737854,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.739796,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.741778,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.743726,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.7456698,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.7476192,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.7495658,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.751529,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.753481,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.7554328,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.75756,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.759718,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.7623308,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
lifting,1715719171.764488,1.765275,2.7699518,-0.525175,1.765275,2.7699518,-0.525175
